article_id,pair,score
0,neutral-authority_bias,0.9560744762420654
0,neutral-scarcity_bias,0.9079625010490417
0,neutral-social_proof_bias,0.9160735607147217
0,neutral-reciprocity_bias,0.8597537279129028
0,authority_bias-scarcity_bias,0.9194026589393616
0,authority_bias-social_proof_bias,0.9362442493438721
0,authority_bias-reciprocity_bias,0.8729691505432129
0,scarcity_bias-social_proof_bias,0.9043378233909607
0,scarcity_bias-reciprocity_bias,0.9147989153862
0,social_proof_bias-reciprocity_bias,0.9018447995185852
1,neutral-authority_bias,0.941669225692749
1,neutral-scarcity_bias,0.8795890808105469
1,neutral-social_proof_bias,0.8924851417541504
1,neutral-reciprocity_bias,0.8405758142471313
1,authority_bias-scarcity_bias,0.9050929546356201
1,authority_bias-social_proof_bias,0.9375056624412537
1,authority_bias-reciprocity_bias,0.8714529871940613
1,scarcity_bias-social_proof_bias,0.9307514429092407
1,scarcity_bias-reciprocity_bias,0.9050837159156799
1,social_proof_bias-reciprocity_bias,0.9030609726905823
2,neutral-authority_bias,0.9103922843933105
2,neutral-scarcity_bias,0.8386086821556091
2,neutral-social_proof_bias,0.8716887831687927
2,neutral-reciprocity_bias,0.8197417259216309
2,authority_bias-scarcity_bias,0.8406287431716919
2,authority_bias-social_proof_bias,0.8790722489356995
2,authority_bias-reciprocity_bias,0.8457332849502563
2,scarcity_bias-social_proof_bias,0.8970999121665955
2,scarcity_bias-reciprocity_bias,0.9062893390655518
2,social_proof_bias-reciprocity_bias,0.8940909504890442
3,neutral-authority_bias,0.9390312433242798
3,neutral-scarcity_bias,0.8746048808097839
3,neutral-social_proof_bias,0.8937464356422424
3,neutral-reciprocity_bias,0.8789761066436768
3,authority_bias-scarcity_bias,0.8630120158195496
3,authority_bias-social_proof_bias,0.8989377021789551
3,authority_bias-reciprocity_bias,0.8866043090820312
3,scarcity_bias-social_proof_bias,0.9135671257972717
3,scarcity_bias-reciprocity_bias,0.9036741256713867
3,social_proof_bias-reciprocity_bias,0.9247164130210876
4,neutral-authority_bias,0.8924180865287781
4,neutral-scarcity_bias,0.9080907106399536
4,neutral-social_proof_bias,0.9083030819892883
4,neutral-reciprocity_bias,0.842582643032074
4,authority_bias-scarcity_bias,0.8758452534675598
4,authority_bias-social_proof_bias,0.9183733463287354
4,authority_bias-reciprocity_bias,0.8715528249740601
4,scarcity_bias-social_proof_bias,0.9006173014640808
4,scarcity_bias-reciprocity_bias,0.8531943559646606
4,social_proof_bias-reciprocity_bias,0.8663615584373474
5,neutral-authority_bias,0.8991672396659851
5,neutral-scarcity_bias,0.8788118362426758
5,neutral-social_proof_bias,0.9158915281295776
5,neutral-reciprocity_bias,0.8715972900390625
5,authority_bias-scarcity_bias,0.8429783582687378
5,authority_bias-social_proof_bias,0.8817219734191895
5,authority_bias-reciprocity_bias,0.8341038823127747
5,scarcity_bias-social_proof_bias,0.8781556487083435
5,scarcity_bias-reciprocity_bias,0.8588038682937622
5,social_proof_bias-reciprocity_bias,0.8652876615524292
6,neutral-authority_bias,0.9466884136199951
6,neutral-scarcity_bias,0.9403322339057922
6,neutral-social_proof_bias,0.9396741986274719
6,neutral-reciprocity_bias,0.8933889865875244
6,authority_bias-scarcity_bias,0.9509112238883972
6,authority_bias-social_proof_bias,0.9409448504447937
6,authority_bias-reciprocity_bias,0.9054718613624573
6,scarcity_bias-social_proof_bias,0.9471451640129089
6,scarcity_bias-reciprocity_bias,0.9048411846160889
6,social_proof_bias-reciprocity_bias,0.9060510993003845
7,neutral-authority_bias,0.8703007102012634
7,neutral-scarcity_bias,0.8839591145515442
7,neutral-social_proof_bias,0.8331200480461121
7,neutral-reciprocity_bias,0.8200558423995972
7,authority_bias-scarcity_bias,0.9064797759056091
7,authority_bias-social_proof_bias,0.8644704222679138
7,authority_bias-reciprocity_bias,0.8410248756408691
7,scarcity_bias-social_proof_bias,0.8614516258239746
7,scarcity_bias-reciprocity_bias,0.8446999788284302
7,social_proof_bias-reciprocity_bias,0.8869218826293945
8,neutral-authority_bias,0.954329788684845
8,neutral-scarcity_bias,0.9327996969223022
8,neutral-social_proof_bias,0.8893700242042542
8,neutral-reciprocity_bias,0.9253331422805786
8,authority_bias-scarcity_bias,0.9237436056137085
8,authority_bias-social_proof_bias,0.8775590658187866
8,authority_bias-reciprocity_bias,0.9197574257850647
8,scarcity_bias-social_proof_bias,0.9196535348892212
8,scarcity_bias-reciprocity_bias,0.9381120204925537
8,social_proof_bias-reciprocity_bias,0.9170732498168945
9,neutral-authority_bias,0.9415692090988159
9,neutral-scarcity_bias,0.8955386281013489
